### bench v5  load averages: 2.09 4.33 4.62
header: hdr/chainhash_v5.h; calibrated core frequency: 3.256 GHz; trials 21

== chainhash-256 <32,5,1> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
     27 |     13.3     13.3 |     66.6     66.6 |     6.83 | 3.35
     28 |     13.1     13.1 |     66.3     65.6 |     7.14 | 3.35
     29 |     13.0     13.0 |     66.1     66.4 |     7.40 | 3.31
     30 |     13.1     13.0 |     66.6     66.5 |     7.98 | 3.48
     31 |     13.0     13.1 |     66.8     65.9 |     7.91 | 3.31
     32 |     11.8     11.8 |     66.7     65.9 |     8.96 | 3.31
     47 |     15.1     15.0 |     68.2     68.2 |    10.44 | 3.36
     48 |     13.8     13.6 |     68.8     68.0 |    12.16 | 3.50
     63 |     17.3     17.0 |     70.1     69.6 |    12.78 | 3.50
     64 |     12.3     12.3 |     68.8     68.8 |    18.22 | 3.49
    100 |     19.0     19.1 |     74.6     74.4 |    17.89 | 3.39
    127 |     20.7     20.8 |     76.8     76.2 |    20.37 | 3.31
    128 |     16.3     16.4 |     70.2     70.2 |    27.35 | 3.48
    255 |     30.0     29.4 |     80.2     79.9 |    29.82 | 3.50
    256 |     24.1     24.2 |     74.9     74.3 |    34.70 | 3.26
    257 |     34.4     34.1 |     86.9     86.8 |    24.21 | 3.24
    511 |     53.4     53.2 |     86.9     87.0 |    31.15 | 3.25
    512 |     46.7     45.4 |     87.6     87.5 |    38.23 | 3.49
    513 |     51.4     51.3 |     96.3     98.3 |    33.46 | 3.35
   1024 |     74.3     74.4 |    109.7    109.4 |    48.08 | 3.49
   1025 |     80.1     80.3 |    120.5    120.6 |    44.68 | 3.49
   4096 |    253.4    248.0 |    266.4    266.2 |    53.74 | 3.32
  16384 |    923.4    919.5 |    932.1    942.4 |    61.90 | 3.49
   avg lat4 over 1..31 B: 67.29 (min-based)  66.93 (median)

== chainhash-1k <128,5,2> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |      8.0      7.9 |      7.9      7.9 |     0.00 | 3.36
      1 |     11.5     11.4 |     72.8     72.4 |     0.29 | 3.34
      2 |     11.6     11.5 |     72.5     72.4 |     0.58 | 3.36
      3 |     11.6     11.5 |     73.5     72.7 |     0.87 | 3.36
      4 |     10.8     10.9 |     71.8     71.7 |     1.23 | 3.33
      5 |     10.9     10.8 |     71.9     71.8 |     1.53 | 3.32
      6 |     11.0     11.0 |     72.0     71.6 |     1.91 | 3.49
      7 |     10.9     10.8 |     71.2     71.1 |     2.15 | 3.36
      8 |     10.7     10.5 |     70.2     69.8 |     2.52 | 3.36
      9 |     10.6     10.6 |     69.0     69.4 |     2.97 | 3.49
     10 |     10.6     11.0 |     69.5     69.8 |     3.28 | 3.48
     11 |     10.5     10.5 |     72.2     70.1 |     3.61 | 3.46
     12 |     10.6     10.5 |     69.8     69.5 |     3.69 | 3.26
     13 |     10.7     10.6 |     69.7     69.6 |     3.98 | 3.28
     14 |     10.6     10.6 |     69.8     69.7 |     4.28 | 3.26
     15 |     10.7     10.7 |     69.8     69.7 |     4.72 | 3.35
     16 |     10.2     10.2 |     67.2     67.3 |     5.49 | 3.49
     17 |     13.7     14.4 |     70.0     69.4 |     4.11 | 3.31
     18 |     13.6     13.6 |     70.2     70.2 |     4.41 | 3.33
     19 |     13.8     14.0 |     70.2     70.4 |     4.48 | 3.25
     20 |     13.6     13.8 |     73.2     69.0 |     4.91 | 3.35
     21 |     13.6     13.6 |     69.7     69.3 |     5.16 | 3.34
     22 |     13.6     13.5 |     69.2     68.9 |     5.29 | 3.26
     23 |     13.4     13.7 |     69.7     69.6 |     5.84 | 3.41
     24 |     13.5     13.6 |     68.8     69.0 |     5.96 | 3.36
     25 |     13.6     13.6 |     69.3     69.2 |     6.16 | 3.36
     26 |     13.6     13.4 |     69.7     69.2 |     6.40 | 3.36
     27 |     13.5     13.5 |     68.8     68.7 |     6.65 | 3.33
     28 |     13.5     13.5 |     69.8     69.6 |     6.89 | 3.32
     29 |     13.6     13.5 |     68.8     68.9 |     7.14 | 3.34
     30 |     13.6     13.5 |     69.7     69.1 |     7.39 | 3.36
     31 |     13.6     13.5 |     69.8     69.6 |     7.63 | 3.36
     32 |     12.1     12.1 |     69.3     69.4 |     8.77 | 3.32
     47 |     15.6     15.5 |     72.1     71.6 |    10.05 | 3.34
     48 |     14.4     14.3 |     71.8     71.0 |    11.14 | 3.35
     63 |     17.7     17.6 |     73.6     73.2 |    11.87 | 3.34
     64 |     12.6     12.6 |     71.4     70.9 |    16.85 | 3.32
    100 |     19.5     19.4 |     77.4     77.3 |    17.21 | 3.36
    127 |     22.0     21.7 |     80.5     79.2 |    19.38 | 3.36
    128 |     16.9     17.5 |     76.1     74.0 |    25.92 | 3.42
    255 |     30.3     30.4 |     86.3     83.1 |    29.34 | 3.49
    256 |     25.7     25.5 |     77.5     77.6 |    33.45 | 3.36
    257 |     29.5     29.8 |     80.1     80.8 |    30.49 | 3.49
    511 |     48.4     49.9 |     91.6     91.5 |    36.61 | 3.47
    512 |     41.4     40.9 |     85.7     85.3 |    43.35 | 3.50
    513 |     51.9     52.4 |     97.2     97.0 |    34.56 | 3.50
   1024 |     77.3     77.1 |     97.1     96.4 |    45.93 | 3.47
   1025 |     88.0     88.5 |    117.9    118.1 |    40.81 | 3.50
   4096 |    247.2    247.0 |    268.7    267.4 |    57.04 | 3.44
  16384 |    859.9    889.8 |    878.5    892.4 |    62.49 | 3.28
   avg lat4 over 1..31 B: 70.31 (min-based)  69.97 (median)

== 64-byte blocks <8,5,1> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |      8.0      8.0 |      8.0      8.0 |     0.00 | 3.49
      1 |     10.7     11.4 |     70.4     70.8 |     0.32 | 3.45
      2 |     10.9     10.9 |     71.9     70.1 |     0.62 | 3.39
      3 |     10.8     10.8 |     71.1     70.2 |     0.90 | 3.26
      4 |     10.4     10.4 |     68.3     68.3 |     1.26 | 3.26
      5 |     10.5     10.5 |     68.7     68.1 |     1.55 | 3.25
      6 |     10.5     10.9 |     67.4     69.0 |     1.85 | 3.24
      7 |     10.6     10.7 |     68.6     68.6 |     2.19 | 3.30
      8 |      9.9     10.1 |     68.4     67.7 |     2.77 | 3.43
      9 |     10.0     10.2 |     67.3     67.3 |     2.91 | 3.25
     10 |     10.1     10.1 |     67.7     68.0 |     3.23 | 3.26
     11 |     10.4     10.4 |     67.9     68.0 |     3.40 | 3.22
     12 |     10.1     10.0 |     66.7     66.2 |     3.89 | 3.27
     13 |     10.0     10.0 |     66.7     65.8 |     4.22 | 3.24
     14 |     10.0     10.0 |     69.0     67.7 |     4.91 | 3.49
     15 |     10.4     10.5 |     66.6     66.3 |     4.65 | 3.22
     16 |      9.7      9.6 |     64.2     63.9 |     5.40 | 3.26
     17 |     12.6     12.5 |     67.5     66.3 |     4.40 | 3.26
     18 |     12.7     12.8 |     67.1     67.2 |     4.90 | 3.47
     19 |     13.0     12.9 |     67.2     67.4 |     5.03 | 3.43
     20 |     12.8     13.1 |     67.3     66.6 |     5.07 | 3.24
     21 |     12.9     13.0 |     68.8     67.0 |     5.39 | 3.31
     22 |     12.8     13.1 |     67.0     67.1 |     5.66 | 3.29
     23 |     12.8     13.0 |     67.2     66.7 |     5.89 | 3.29
     24 |     12.9     13.1 |     66.7     66.9 |     6.02 | 3.23
     25 |     12.7     12.7 |     67.3     66.9 |     6.57 | 3.34
     26 |     12.9     13.0 |     67.2     67.6 |     6.64 | 3.31
     27 |     13.2     13.3 |     67.3     66.8 |     7.03 | 3.45
     28 |     12.6     12.7 |     66.9     66.8 |     7.22 | 3.26
     29 |     12.8     12.7 |     65.9     66.8 |     7.48 | 3.31
     30 |     12.4     12.6 |     65.9     67.1 |     7.92 | 3.28
     31 |     12.7     12.7 |     65.8     67.0 |     7.99 | 3.28
     32 |     11.8     12.2 |     64.9     66.8 |     8.83 | 3.25
     47 |     15.2     15.3 |     70.2     69.0 |    10.04 | 3.25
     48 |     14.1     14.4 |     69.7     68.6 |    11.04 | 3.25
     63 |     17.4     17.5 |     73.2     71.4 |    12.34 | 3.40
     64 |     12.3     12.6 |     69.6     69.2 |    17.41 | 3.34
    100 |     24.2     25.7 |     87.5     84.9 |    13.67 | 3.31
    127 |     26.3     26.4 |     84.5     84.3 |    15.73 | 3.25
    128 |     22.2     22.3 |     88.3     85.0 |    20.07 | 3.49
    255 |     38.6     38.5 |    100.2    100.4 |    22.10 | 3.35
    256 |     33.9     34.3 |    103.0    100.8 |    25.24 | 3.34
    257 |     39.3     39.8 |    108.1    110.3 |    22.15 | 3.39
    511 |     64.4     64.6 |    132.7    133.1 |    25.61 | 3.23
    512 |     60.2     61.1 |    132.9    133.1 |    27.56 | 3.24
    513 |     66.1     66.8 |    137.4    141.5 |    25.89 | 3.34
   1024 |    118.7    118.0 |    199.2    197.7 |    29.20 | 3.38
   1025 |    128.0    127.4 |    210.1    203.7 |    27.71 | 3.46
   4096 |    455.7    503.1 |    580.1    573.4 |    29.84 | 3.32
  16384 |   2034.0   2011.5 |   2114.9   2116.3 |    26.01 | 3.23
   avg lat4 over 1..31 B: 67.61 (min-based)  67.42 (median)
### bench2 v7  load averages: 2.27 4.22 4.58
header: hdr/chainhash_v7.h; calibrated core frequency: 3.206 GHz; trials 21

== chainhash-256 <32,5,1> ==  cycles per call, min-based / median:  lat4 | lat4w (noinline wrapper: GPR store of the uint64 into out[], reload 4 B = SMHasher3 shape) | lat4i (hash_into)
    len |     lat4      med |    lat4w      med |    lat4i      med
      1 |     71.0     70.8 |     76.8     76.9 |     75.7     76.0
      2 |     71.0     71.1 |     75.9     76.3 |     76.3     76.1
      3 |     70.6     71.1 |     76.2     76.2 |     75.8     76.2
      4 |     68.3     68.7 |     74.1     74.3 |     74.3     74.4
      5 |     69.2     68.8 |     74.1     74.5 |     74.2     74.4
      6 |     68.5     68.6 |     73.9     74.4 |     74.1     74.3
      7 |     68.5     68.8 |     74.3     74.3 |     73.9     74.6
      8 |     67.3     67.3 |     74.5     74.1 |     72.3     72.5
      9 |     67.4     67.4 |     72.9     73.4 |     72.1     72.3
     10 |     67.3     67.4 |     72.9     73.3 |     72.4     72.6
     11 |     66.7     67.6 |     73.2     73.4 |     72.2     72.6
     12 |     66.9     67.2 |     71.5     72.0 |     71.6     71.7
     13 |     67.2     67.5 |     71.5     71.7 |     71.5     71.6
     14 |     67.1     67.2 |     72.6     72.1 |     70.1     71.8
     15 |     66.5     67.1 |     73.9     72.2 |     71.9     71.4
     16 |     64.8     64.9 |     70.2     70.5 |     70.3     70.0
     17 |     67.5     67.4 |     72.7     72.4 |     72.7     72.7
     18 |     67.4     67.2 |     72.2     72.7 |     72.6     72.7
     19 |     67.5     68.0 |     72.3     72.4 |     72.9     73.0
     20 |     66.8     67.2 |     71.2     70.8 |     71.2     70.6
     21 |     66.6     66.2 |     71.3     70.5 |     71.7     70.7
     22 |     66.7     66.4 |     70.8     71.0 |     70.2     71.1
     23 |     66.8     66.7 |     71.4     70.7 |     71.2     71.1
     24 |     66.8     66.4 |     71.5     70.9 |     71.9     71.4
     25 |     66.6     66.7 |     71.7     71.3 |     71.2     69.8
     26 |     66.4     65.5 |     71.3     71.2 |     71.2     70.5
     27 |     66.8     66.6 |     71.4     71.1 |     71.2     70.8
     28 |     66.8     66.1 |     71.4     70.9 |     71.2     70.7
     29 |     66.8     66.4 |     71.4     70.1 |     71.2     70.9
     30 |     66.5     66.4 |     70.9     70.6 |     71.2     70.9
     31 |     66.8     66.3 |     71.0     70.5 |     71.2     71.0
     32 |     66.6     66.6 |     71.7     71.8 |     71.6     71.0
     64 |     69.0     68.3 |     73.8     74.0 |     73.7     73.2
    100 |     75.0     74.4 |     79.6     78.8 |     80.0     78.4
    255 |     81.0     79.6 |     84.4     84.2 |     85.6     84.3
    256 |     74.5     74.2 |     79.8     79.5 |     79.6     79.0
    512 |     86.9     86.4 |     92.5     92.9 |     92.7     91.3
   1024 |    108.4    108.5 |    116.7    113.9 |    114.3    116.1
   avg over 1..31 B (min-based): lat4 67.46  lat4w 72.61  lat4i 72.30

== chainhash-1k <128,5,2> ==  cycles per call, min-based / median:  lat4 | lat4w (noinline wrapper: GPR store of the uint64 into out[], reload 4 B = SMHasher3 shape) | lat4i (hash_into)
    len |     lat4      med |    lat4w      med |    lat4i      med
      1 |     73.9     73.7 |     78.2     78.5 |     79.5     78.6
      2 |     74.2     73.5 |     78.6     78.4 |     79.0     78.6
      3 |     74.0     73.7 |     79.0     78.8 |     79.1     79.5
      4 |     72.8     72.4 |     79.4     77.1 |     77.4     77.9
      5 |     72.8     72.0 |     77.4     77.3 |     77.0     77.0
      6 |     71.9     72.3 |     77.3     77.3 |     77.3     77.7
      7 |     72.1     71.9 |     80.7     76.7 |     76.6     76.4
      8 |     70.4     70.5 |     75.9     76.7 |     75.8     75.5
      9 |     70.0     70.4 |     77.5     78.8 |     75.3     75.4
     10 |     70.8     70.5 |     78.4     79.3 |     78.2     75.0
     11 |     71.5     70.4 |     78.5     78.2 |     75.6     75.9
     12 |     70.2     72.9 |     76.5     78.1 |     74.3     74.6
     13 |     72.2     70.7 |     74.1     75.7 |     76.0     75.4
     14 |     71.2     70.3 |     75.1     75.8 |     74.9     74.7
     15 |     70.3     69.7 |     75.4     74.8 |     75.8     75.2
     16 |     67.5     67.7 |     73.0     73.0 |     72.4     72.4
     17 |     70.6     70.3 |     75.8     75.5 |     76.9     75.9
